Year,Month,javascript,java,c#,php,android,jquery,python,html,C++,ios,css,mysql,sql,angularjs,.net,asp.net,iphone
2013,9,974,1109,569,958,1121,878,636,73,601,878,258,517,181,282,11,161,23
2013,10,1133,1458,611,1129,1266,799,874,102,720,799,265,573,236,307,22,147,20
2013,11,991,1318,601,1023,1119,697,729,96,662,697,260,524,174,329,14,133,12
2013,12,957,1098,581,976,1111,628,718,90,650,628,238,507,191,303,7,151,5
2014,1,1053,942,684,1052,1248,671,733,109,639,671,260,569,190,367,13,135,11
2014,2,1097,1128,709,1206,1135,690,780,112,725,690,265,540,215,365,10,145,17
2014,3,1121,1315,741,1279,1443,741,940,127,757,741,276,608,292,428,17,131,14
2014,4,1016,1257,698,1210,1413,671,877,103,708,671,279,613,239,391,15,118,2
2014,5,855,918,573,914,1099,617,596,88,486,617,245,549,253,439,9,131,4
2014,6,818,813,497,815,909,585,623,80,394,585,197,481,209,382,13,87,3
2014,7,868,934,575,868,1084,534,710,98,446,534,217,488,222,480,15,94,4
2014,8,870,894,514,825,1022,550,669,82,426,550,200,467,183,432,10,73,1
2014,9,835,1076,523,791,938,526,699,82,583,526,216,440,249,461,14,84,11
2014,10,890,1274,508,812,892,563,739,87,598,563,224,551,195,470,17,81,6
2014,11,849,1120,501,770,946,494,783,81,622,494,188,648,157,481,7,87,2
2014,12,757,992,480,778,940,460,623,93,517,460,193,480,109,388,8,91,5
2015,1,885,1021,493,844,996,463,649,73,512,463,199,541,121,413,7,77,2
2015,2,830,1073,508,787,1016,475,785,103,616,475,205,524,137,432,7,84,5
2015,3,954,1344,596,884,1077,517,888,101,677,517,228,644,181,539,12,73,2
2015,4,930,1212,578,810,1137,495,863,91,657,495,228,579,157,537,8,91,3
2015,5,998,995,589,741,1097,426,803,88,570,426,217,528,116,520,13,63,5
2015,6,945,1044,575,828,1041,463,834,75,501,463,220,619,126,565,9,76,4
2015,7,1047,961,687,930,1234,457,867,87,505,457,208,623,173,628,13,67,3
2015,8,967,835,550,874,1105,458,750,74,416,458,242,591,160,518,6,65,0
2015,9,917,1140,560,814,1114,417,844,99,555,417,205,550,140,541,9,63,1
2015,10,1002,1388,642,863,1147,420,1057,98,695,420,190,642,145,514,11,63,0
2015,11,1011,1340,639,823,1015,370,880,78,634,370,199,562,132,498,10,41,4
2015,12,1043,1081,579,800,983,419,866,88,610,419,200,554,124,517,4,44,0
2016,1,1026,998,559,917,983,412,778,114,504,412,168,590,139,575,6,54,0
2016,2,1058,1197,609,967,1030,406,943,114,623,406,202,625,151,537,18,67,4
2016,3,1157,1411,726,1071,1424,417,1134,110,664,417,215,737,155,654,18,101,1
2016,4,1156,1371,750,1009,1361,395,1019,108,676,395,207,651,170,632,15,89,5
2016,5,1195,1066,666,1025,1293,394,829,102,533,394,203,703,187,565,15,66,2
2016,6,1099,896,685,922,1295,375,911,105,486,375,169,634,182,530,13,102,3
2016,7,1067,737,660,829,1208,381,830,95,462,381,178,577,132,519,14,81,5
2016,8,1062,779,601,786,1113,395,859,92,403,395,174,600,131,563,16,68,4
2016,9,986,951,586,860,1072,341,901,86,492,341,149,567,147,508,12,67,1
2016,10,1018,1078,611,885,996,385,1047,99,650,385,161,600,173,452,9,53,2
2016,11,1146,1012,616,770,900,346,1068,94,608,346,183,654,190,445,12,58,3
2016,12,978,802,598,771,857,347,842,95,510,347,155,555,129,407,12,65,6
2017,1,1068,777,583,861,1046,353,900,79,548,353,182,635,141,477,11,69,4
2017,2,1183,1137,678,902,994,359,1067,115,534,359,185,612,207,420,10,67,4
